name,       target_id,   ra,         dec,         pos_err,      lii,         bii,         bat_redshift,    redshift,    redshift_err,    redshift_type,   redshift_line,   redshift_from,   redshift_ref,       galaxy_redshift
,GRB 050410 ,   114299,05 59 14.11,+79 36 12.4,     1.7,134.05730, 24.34502,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050412 ,   114485,12 04 25.28,-01 12 00.6,     3.7,279.27714, 59.49488,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 071018 ,   294645,10 59 19.92,+53 48 14.4,   186.0,152.93721, 56.29718,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050416A,   114753,12 33 54.60,+21 03 26.7,        ,268.62871, 82.73146,      0.6535,  0.6528,      0.0002,S            ,E            ,O            ,2007ApJ...661..982S,0.6528         ,
,GRB 050416B,   114797,08 55 23.28,+11 11 09.6,    84.0,216.85347, 32.54522,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050418 ,   114893,02 57 21.36,-18 32 31.2,    48.0,203.11431,-59.83810,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 080514B,    20069,21 31 22.71,+00 42 28.4,     0.6, 54.57342,-34.48701,            ,  2.3000,            ,SL           ,             ,O            ,2008GCN..7874....1P,2.3            ,
,GRB 050421 ,   115135,20 29 02.75,+73 39 17.7,     1.7,107.15428, 19.51660,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050422 ,   115214,21 37 54.71,+55 46 45.0,     3.6, 98.04376,  2.55718,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050502A,    20005,13 29 46.30,+42 40 27.7,     1.0, 98.75832, 72.60824,            ,  3.7930,            ,S            ,A            ,O            ,2005GCN..3332....1P,               ,
,GRB 050502B,   116116,09 30 10.02,+16 59 48.1,        ,214.35501, 42.59050,            ,  5.2000,      0.3000,P            ,             ,O            ,2011A&A...526A.154A,               ,
,GRB 050505 ,   117504,09 27 03.30,+30 16 23.7,        ,196.25406, 45.44546,      4.2700,  4.2750,            ,S            ,A            ,O            ,2006ApJ...642..979B,               ,
,GRB 050507 ,   118248,03 12 15.36,-11 03 03.6,   114.0,193.90865,-53.23798,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050509A,   118707,20 42 20.06,+54 04 16.5,     2.5, 91.35738,  7.25494,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 100331B,    20132,20 12 05.14,-11 06 29.2,     1.8, 31.85943,-22.88356,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050509B,   118749,12 36 13.85,+28 59 03.7,     3.8,183.09454, 86.16614,      0.2260,  0.2249,      0.0008,S            ,A            ,O            ,2005GCN..3399....1P,0.226          ,
,GRB 050509C,    20009,12 52 53.94,-44 50 04.1,     1.0,303.20433, 18.03651,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050520 ,    20010,12 50 05.98,+30 27 04.4,     3.8,127.89460, 86.66413,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050522 ,    20011,13 20 34.63,+24 47 20.4,     9.3, 14.90009, 83.04649,            ,        ,            ,             ,             ,             ,                   ,               ,
